"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"17",16000,0.00554134125855171,0.00184312167842163,0.396034586962049,2.91534248719846,0.166846469807758,-16.6452985366177,0.285
"18",17000,0.0059032827853249,0.00168794588933963,0.847596132093077,2.91534170357878,0.214939334124874,-15.7681868665528,0.303
"19",18000,0.00313088404126777,0.00158422616408641,0.627051688129514,2.91530618061102,0.551718616782261,-18.3063793486743,0.2
"20",19000,0.00326251043503673,0.00289583499479906,0.805041774529618,2.85828073929121,0.183221395902364,-15.842256596004,0.147
"21",20000,0.00530514283201549,0.00214134492051813,0.805119791075804,2.74906488851608,0.488691929181282,-14.6200045499858,0.293
"22",21000,0.0039066081867226,0.00310362101867289,0.805119892499735,2.76939394489077,0.574493740602545,-16.5540231230511,0.285
"23",22000,0.00464929711680138,0.00163811822862403,0.803452248865636,2.98546483943033,0.349513510756213,-14.6108085125541,0.256
"24",23000,0.0064979508519847,0.00206867523313591,0.399400300746123,2.92028207147513,0.541567779932143,-17.954233898686,0.133
"25",24000,0.00307611098006579,0.00200893292251977,0.884590109195618,2.92027692484921,0.237867945968133,-14.6053561748123,0.274
"26",25000,0.00394516564297841,0.00237878602420197,0.849206745553053,2.92029787190649,0.235584195731492,-14.2963753755542,0.324
"27",26000,0.00471556524086539,0.00266101012208105,0.751301071272009,3.02171142284116,0.540619771170221,-15.5536905449655,0.144
"28",27000,0.00383171506621894,0.00234477258300964,0.776618834660729,2.70886640364567,0.0591304921934906,-15.7488985328657,0.225
"29",28000,0.00603360915828665,0.00216031828487961,1.1193993692496,2.9096035295413,0.246854659920574,-18.9574426519259,0.292
"30",29000,0.00263363995086299,0.00235971921303945,0.98062918692351,2.89922766028181,0.164732064845309,-17.5542405811415,0.123
"31",30000,0.0036684122859824,0.0019373912579131,0.927751841704344,3.11897075920688,0.0733032413714221,-17.8147659999515,0.311
"32",31000,0.00548499744282961,0.00248579744303842,0.657590670114682,3.00261116763753,0.4162943931824,-15.502607659016,0.241
"33",32000,0.00590711174705509,0.00190112636257151,1.03137916350906,3.003330055697,0.286240907968772,-16.3378908770049,0.265
"34",33000,0.00348261255000472,0.00175487464293374,1.04550411594669,3.00559190280087,0.158894361068555,-16.5039957461035,0.175
"35",34000,0.00793931385199355,0.00228087430190667,1.05587819694969,3.01313832832449,0.210070923146591,-19.6523642562653,0.296
"36",35000,0.00501915203784324,0.00265642198035403,0.895687510642537,3.12724531666222,0.542773499693754,-16.6126538916197,0.225
"37",36000,0.00365602120200745,0.00259376618073023,0.786834793712106,3.12807219349646,0.304048962569145,-16.0828658393058,0.193
"38",37000,0.00613776491365726,0.00212314237866409,0.737823439515769,3.12800567859014,0.111921042624271,-19.2368000734816,0.177
"39",38000,0.00418255914840546,0.00180524011588777,0.737451850229088,3.1280056464401,0.194143028425528,-16.67304249924,0.339
"40",39000,0.00551011482988382,0.0030959512345944,0.737451846093072,3.12800565307939,0.275273382316099,-18.1700103814179,0.138
"41",40000,0.00659102109390075,0.00225471784123803,0.737451846067177,3.12800565157116,0.587517787787367,-19.3957355785458,0.311
"42",41000,0.00324654018989023,0.00522849141049864,0.737451846067176,3.12800565128443,0.181003142141263,-22.9481013315578,0.269
"43",42000,0.00498306429158186,0.00213335712239695,0.737451846067179,3.12800622891053,0.45492433308802,-16.6469677715062,0.282
"44",43000,0.00458509252954911,0.00208566296912788,0.737451846057452,3.10946940687774,0.200716361464778,-16.2546929521392,0.194
"45",44000,0.00426617525196826,0.00165690582278937,0.737452005991519,2.70251109874007,0.0375307834177713,-16.0720180685932,0.245
"46",45000,0.00395498503034086,0.00265109048703315,0.755164239793694,2.85964047526585,0.0534552460389047,-16.0098362706207,0.212
"47",46000,0.00445725629944729,0.00167040153566312,0.884985001523908,2.9806593596198,0.0784024353777486,-16.1901515062938,0.168
"48",47000,0.00614702024923215,0.00283259623393053,0.884985001523908,2.98064353588834,0.449053387106964,-16.1941621929386,0.235
"49",48000,0.00447904551372063,0.00219777547114497,0.884913144897356,2.98064353670099,0.467593320792455,-14.2390413251192,0.154
"50",49000,0.00465868054525067,0.00268049801358473,0.884904507073482,2.9806435374471,0.278026528695516,-15.2933254925627,0.349
"51",50000,0.00433525273209382,0.00234952675998942,0.884904507067548,2.98064353766269,0.470800093009491,-14.3193724335226,0.286
"52",51000,0.00421083187562343,0.00173884721817805,0.884904506717829,2.98064355011525,0.250661598176107,-14.4445788301287,0.242
"53",52000,0.00444228595282239,0.00152413368498091,0.884904531249823,2.98204940526258,0.37421721826571,-15.0018814145072,0.286
"54",53000,0.00487074841749039,0.00219475700562689,0.884898247292257,2.80379004416041,0.347864306341472,-14.1312620717281,0.238
"55",54000,0.00624337091746647,0.00328303768850818,0.879125480295532,2.91007558882802,0.42027465121589,-17.134031453573,0.183
"56",55000,0.00263246586538262,0.00243970369291165,0.692226589090837,2.91015851024264,0.301259859650361,-15.8409860214172,0.228
"57",56000,0.00474025249447992,0.00192750412824109,0.883717446989582,2.91015804779288,-0.0309188139774114,-16.9982159420952,0.14
"58",57000,0.00652471866323002,0.00272827864401021,0.883859192266561,2.91015804802954,0.42567307292893,-16.2549573352452,0.405
"59",58000,0.00376251045162331,0.00252765126743537,0.88385919716094,2.91015804655524,0.411455515970077,-14.2720969371297,0.0810000000000001
"60",59000,0.00364437891884244,0.0014359426757795,0.883859197159645,2.91015804493633,0.363905741304896,-14.8006005941057,0.381
"61",60000,0.00353028837054517,0.00182792792443721,0.883859197159645,2.91015852708568,0.152226982295085,-14.635603949009,0.155
"62",61000,0.00301751399997722,0.00183695573375992,0.883859197159645,2.91051529388913,-0.0394735552741742,-17.9586281140685,0.221
"63",62000,0.00350210578628535,0.00222134576691539,0.883859197159645,2.81225076928193,0.039059827707667,-15.9680492255695,0.293
