"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"35",34000,0.00450905192053531,0.00298592351820536,0.380226259937203,3.39000488080041,0.319723645633499,-41.9784818915963,0.228
"36",35000,0.005701034521267,0.00446687480677236,0.398390980892682,2.92753129134885,0.173603539746044,-40.8531138989245,0.234
"37",36000,0.0056916234614417,0.00411191366974296,0.391032418627758,3.12866037155379,0.210147891324776,-39.4680371113078,0.232
"38",37000,0.00535773723265636,0.00546259117821475,0.388414716008588,3.0896212580917,0.248042361649453,-40.6583655987529,0.264
"39",38000,0.00770472157423827,0.0040497118489464,0.740682319943289,3.37581470526224,0.262117542227009,-41.566850196754,0.272
"40",39000,0.00588881784209563,0.00420046572695585,0.496214290750277,3.18291112539733,0.146046494966826,-39.9750921895237,0.153
"41",40000,0.00458797512426161,0.00451633943883624,0.629102988586939,3.06448809404871,0.186976895350969,-40.1451775170665,0.239
"42",41000,0.00476667396437371,0.00390161087199042,0.558702714526037,3.2066919941008,0.301859199937183,-38.8758891749098,0.233
"43",42000,0.0061156319674589,0.00516070924295176,0.394924895104656,3.14497764685773,0.458305362589681,-40.5220526878595,0.235
"44",43000,0.00602758926917222,0.0043214074328338,0.39846592015346,3.13982477003741,0.311977476047427,-39.7175444303324,0.222
"45",44000,0.00605148969804592,0.00483200043523105,0.380892005987995,3.08873854024178,0.462574075751151,-40.4210055281929,0.259
"46",45000,0.00593458591420442,0.00487440792836315,0.560997502566209,3.30145646328487,0.316304489026267,-39.4610574004408,0.208
"47",46000,0.00584580702701207,0.00435950994383495,0.560171554321348,3.24812206098824,0.234063957810338,-39.2267534684816,0.193
"48",47000,0.00546754869677715,0.00361194494654852,0.560171434805923,3.2474675899805,0.117233994829238,-40.1198152228856,0.281
"49",48000,0.00386877698250646,0.00542803266200945,0.560171435492,3.53237619570767,0.168771901105709,-43.1523540698931,0.23
"50",49000,0.00484001133380271,0.00376076653570917,0.560171426866191,3.33269993118256,0.287092750964085,-38.9631409145498,0.305
"51",50000,0.00521809808923014,0.004556476486963,0.560228088883231,3.34813042541055,0.218994074595647,-39.3294733462558,0.115
"52",51000,0.0045524028218068,0.00421389340501466,0.561802821835779,3.22056341995103,0.157113958836682,-40.9020505360258,0.252
"53",52000,0.00527733480761738,0.00612144576577805,0.676882817670707,3.29542537196355,0.16790062858377,-42.3297130665354,0.174
"54",53000,0.00474528707028582,0.00355325656642764,0.650563418194107,3.26933149436044,0.300645977687617,-39.2750998607566,0.264
"55",54000,0.00844232354969606,0.00340850173016792,0.742145297533726,3.06508979439826,0.367712888874116,-44.1326082632196,0.287
"56",55000,0.00572340432606352,0.0047413883979436,0.520087872580159,3.11680465259905,0.291577121030823,-39.3885524610512,0.196
"57",56000,0.00548609146752601,0.003621763992918,0.48582954020444,3.04883216581702,0.261124497851571,-39.5131181647378,0.22
