"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"62",61000,0.00406997094836475,0.00188994625200288,0.754254641757354,-0.640358075612483,-0.0360013111738187,-18.571411884679,0.316
"63",62000,0.00342699897695974,0.00253135592304218,0.754249136978859,-0.640792111365099,0.00402795726527427,-17.6756644797275,0.158
"64",63000,0.00383731042840607,0.00271850480356308,0.754269723535411,-0.821997725719079,0.0313498831182307,-17.3141406934317,0.365
"65",64000,0.00448786155088188,0.00273122482205617,0.753967927394949,-1.01999065280475,-0.110826004434527,-17.2256484142097,0.0940000000000001
"66",65000,0.00348747193562791,0.00304595842355494,0.361544701703539,-0.780922213613885,-0.20132782019195,-18.6786844330308,0.213
"67",66000,0.00628022597243072,0.00354680316825458,0.357565146209747,-0.773250582479985,-0.203628697246359,-20.8597571541764,0.141
"68",67000,0.00439376952358408,0.00376563812898877,0.358027946823154,-0.773360414069266,-0.329737598242612,-19.4002438053893,0.306
"69",68000,0.00416446718473838,0.00290684227139958,0.358042097358358,-0.773360414078154,-0.15456781349849,-18.2815442022902,0.193
"70",69000,0.00419718463458215,0.00206442922823037,0.358003807863718,-0.773360414078122,-0.31698767263781,-18.7893368851069,0.408
"71",70000,0.00424666539455168,0.00206442922823037,0.358003807863718,-0.773360414077872,-0.0341751456025859,-19.6209322487471,0.11
"72",71000,0.00568469875226139,0.00250123030737796,0.357343731819185,-0.773360414077872,-0.222694228010258,-18.914634715526,0.158
"73",72000,0.00539034273061617,0.00234665574223086,0.357246041173518,-0.773360414077872,-0.192017057797652,-18.7759656813239,0.414
"74",73000,0.00437282266150926,0.00234665574223086,0.357246041173518,-0.773360414077872,-0.286195969302449,-18.0212932972737,0.151
"75",74000,0.00437282266150926,0.00212783920125344,0.410295844796881,-0.773360414077874,-0.282730115734706,-17.8509285344319,0.238
"76",75000,0.00452178628212356,0.00240610514650787,0.95287102104686,-0.773360414077698,-0.262334935824592,-16.1463335025115,0.368
"77",76000,0.00418744401105369,0.00240610514650787,0.95287102104686,-0.773360414077698,-0.345071247669212,-16.2506058728112,0.065
