leaf_thickness_mm,LTmean (um),FMDMmean,LDMCmean (g/g),dSLAmean (cm^2/g),dC13,dH+,dH+SIG,Pathway,Genus,Species,Taxon,Reference,MajorLineage,Tissue
0.5,500.0,,,,-21.2,,,C3+CAM,Epidendrum,dentilobum,Epidendrum dentilobum,Silvera et al. (2005),Orchidaceae,leaf
1.24,1240.00,17.9,0.056,81,-14.4,34.4,SIG,CAM,Epidendrum,difforme,Epidendrum difforme,Silvera et al. (2005),Orchidaceae,leaf
0.47,470.00,8.8,0.114,113,-17,66.0,SIG,CAM,Epidendrum,flexicaule,Epidendrum flexicaule,Silvera et al. (2005),Orchidaceae,leaf
1.1,1100.0,,,,-16.9,,,CAM,Epidendrum,fulgens,Epidendrum fulgens,Silvera et al. (2005),Orchidaceae,leaf
0.48,480.00,8.8,0.114,164,-28.2,48.1,SIG,C3+CAM,Epidendrum,isthmi,Epidendrum isthmi,Silvera et al. (2005),Orchidaceae,leaf
2.47,2470.00,9.7,0.103,62,-15.7,46.4,SIG,CAM,Epidendrum,lockhartioides,Epidendrum lockhartioides,Silvera et al. (2005),Orchidaceae,leaf
0.73,730.00,9.4,0.106,149,-21.7,75.3,SIG,C3+CAM,Epidendrum,nocturnum,Epidendrum nocturnum,Silvera et al. (2005),Orchidaceae,leaf
1.97,1970.00,8.5,0.118,52,-18.1,120.5,SIG,CAM,Epidendrum,oerstedii,Epidendrum oerstedii,Silvera et al. (2005),Orchidaceae,leaf
2.2,2200.0,13.4,0.075,103,-20.3,53.3,SIG,C3+CAM,Epidendrum,porpax,Epidendrum porpax,Silvera et al. (2005),Orchidaceae,leaf
0.32,320.00,5.6,0.179,204,-26.9,21.2,SIG,C3+CAM,Epidendrum,pseudepidendrum,Epidendrum pseudepidendrum,Silvera et al. (2005),Orchidaceae,leaf
0.39,390.00,4.4,0.227,106,-23.6,18.5,SIG,C3+CAM,Oerstedella,pseudoschumanniana,Epidendrum pseudoschumanniana,Silvera et al. (2005),Orchidaceae,leaf
1.57,1570.00,9.7,0.103,90,-16.2,226.5,SIG,CAM,Epidendrum,radicans,Epidendrum radicans,Silvera et al. (2005),Orchidaceae,leaf
1.52,1520.00,15.0,0.067,133,-20.4,44.0,SIG,C3+CAM,Epidendrum,rousseauae,Epidendrum rousseauae,Silvera et al. (2005),Orchidaceae,leaf
2.34,2340.00,12.6,0.079,85,-15,71.8,SIG,CAM,Epidendrum,schlechterianum,Epidendrum schlechterianum,Silvera et al. (2005),Orchidaceae,leaf
1.55,1550.00,9.7,0.103,84,-17.4,71.0,SIG,CAM,Epidendrum,stamfordianum,Epidendrum stamfordianum,Silvera et al. (2005),Orchidaceae,leaf
0.34,340.00,,,,-27.7,,,,Oerstedella,wallisii,Epidendrum wallisii,Silvera et al. (2005),Orchidaceae,leaf
0.61,610.00,4.9,0.204,88,-24.8,9.4,SIG,C3+CAM,Eriopsis,rutidobulbon,Eriopsis rutidobulbon,Silvera et al. (2005),Orchidaceae,leaf
0.15,150.00,,,,-24.1,,,,Erycina,crista-galli,Erycina crista-galli,Silvera et al. (2005),Orchidaceae,leaf
0.8,800.0,,,,-13.8,,,CAM,Psygmorchis,pusilla,Erycina pusilla,Silvera et al. (2005),Orchidaceae,leaf
0.6,600.0,4.9,0.204,265,-27.5,1.0,NS,C3,Galeandra,batemanii,Galeandra batemanii,Silvera et al. (2005),Orchidaceae,leaf
0.65,650.00,7.5,0.133,187,-25.2,2.9,NS,C3,Galeottia,grandiflora,Galeottia grandiflora,Silvera et al. (2005),Orchidaceae,leaf
0.26,260.00,5.8,0.172,288,-24.4,36.1,SIG,C3+CAM,Oncidium,flexuosum,Gomesa flexuosa,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,4.5,0.222,144,-29,2.3,NS,C3,Gongora,armeniaca,Gongora armeniaca,Silvera et al. (2005),Orchidaceae,leaf
0.3,300.0,6.8,0.147,236,-28,0.3,NS,C3,Gongora,atropurpurea,Gongora atropurpurea,Silvera et al. (2005),Orchidaceae,leaf
0.23,230.00,8.1,0.123,407,-29.8,0.2,NS,C3,Gongora,claviodora,Gongora claviodora,Silvera et al. (2005),Orchidaceae,leaf
0.38,380.00,8.6,0.116,322,-27,0.6,NS,C3,Gongora,tricolor,Gongora fulva,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,11.1,0.090,432,-27.5,-1.6,-1.6 NS,C3,Gongora,powellii,Gongora powellii,Silvera et al. (2005),Orchidaceae,leaf
0.3,300.0,,,,-26.4,,,C3,Gongora,unicolor,Gongora unicolor,Silvera et al. (2005),Orchidaceae,leaf
2.45,2450.00,8.2,0.122,38,-16.1,109.6,SIG,CAM,Guarianthe,patinii,Guarianthe hennisiana,Silvera et al. (2005),Orchidaceae,leaf
0.3,300.0,5.3,0.189,139,-27.6,-1.1,NS,C3,Huntleya,burtii,Huntleya burtii,Silvera et al. (2005),Orchidaceae,leaf
0.66,660.00,,,,-27.1,,,C3,Huntleya,fasciata,Huntleya fasciata,Silvera et al. (2005),Orchidaceae,leaf
1.63,1630.00,10.5,0.095,77,-12.7,275.7,SIG,CAM,Ionopsis,utricularioides,Ionopsis utricularioides,Silvera et al. (2005),Orchidaceae,leaf
0.19,190.00,,,,-27.4,,,,Kegeliella,atropilosa,Kegeliella atropilosa,Silvera et al. (2005),Orchidaceae,leaf
