tipLabel,MajorLineage,Genus,Species,Taxon,Pathway,MA,LT,IAS,CAMpheno,CAMphenoCat
Lewisia_columbiana_wallowensis_2,Montiaceae,Lewisia,columbiana,Lewisia columbiana,C3+CAM,2252.3750000000005,813.8303999999999,0.09077318714057107,mCAM,1
Lewisia_cotyledon_cotyledon_113,Montiaceae,Lewisia,cotyledon,Lewisia cotyledon,C3+CAM,,,,mCAM,1
Lewisia_rediviva_minor_10,Montiaceae,Lewisia,rediviva,Lewisia rediviva,C3+CAM,,,,mCAM,1
Lewisia_congdonii_17,Montiaceae,Lewisia,congdonii,Lewisia congdonii,C3+CAM,,,,mCAM,1
Claytonia_washingtoniana_26,Montiaceae,Claytonia,washingtoniana,Claytonia washingtoniana,C3,,,,non-CAM,0
Claytonia_rubra_382,Montiaceae,Claytonia,rubra,Claytonia rubra,C3,,,,non-CAM,0
Claytonia_nevadensis,Montiaceae,Claytonia,nevadensis,Claytonia nevadensis,C3,,,,non-CAM,0
Claytonia_virginica,Montiaceae,Claytonia,virginica,Claytonia virginica,C3,,,,non-CAM,0
Claytonia_lanceolata_106,Montiaceae,Claytonia,lanceolata,Claytonia lanceolata,C3,1332.2315333333333,,,non-CAM,0
Claytonia_megarhiza_195,Montiaceae,Claytonia,megarhiza,Claytonia megarhiza,C3,3233.6088000000004,811.0193333333333,0.31008310179474835,non-CAM,0
Montia_chamissoi,Montiaceae,Montia,chamissoi,Montia chamissoi,C3,,,,non-CAM,0
Montia_parviflora_27,Montiaceae,Montia,parvifolia,Montia parvifolia,C3,1818.2231,376.20383333333336,0.24187961302306768,non-CAM,0
Lewisiopsis_tweedyi_4,Montiaceae,Lewisiopsis,tweedyi,Lewisiopsis tweedyi,C3+CAM,,,,mCAM,1
Calandrinia_colchaguensis_379,Montiaceae,Calandrinia,colchaguensis,Calandrinia colchaguensis,C3+CAM,2873.1111111111113,927.2704,0.15651820165727903,mCAM,1
Calandrinia_skottsbergi_222,Montiaceae,Parakeelya,skottsbergi,Parakeelya skottsbergi,C3+CAM,,,,mCAM,1
Calandrinia_grandiflora_or_procumbens,Montiaceae,Calandrinia,pilosiuscula,Calandrinia pilosiuscula,C3+CAM,,,,mCAM,1
Calandrinia_compressa_144,Montiaceae,Parakeelya,compressa,Parakeelya compressa,C3+CAM,,,,mCAM,1
Montiopsis_ramosissima_384,Montiaceae,Montiopsis,ramosissima,Montiopsis ramosissima,C3,,,,non-CAM,0
Montiopsis_berteroana_376,Montiaceae,Montiopsis,berteroana,Montiopsis berteroana,C3,,,,non-CAM,0
Montiopsis_capitata_375,Montiaceae,Montiopsis,capitata,Montiopsis capitata,C3,,,,non-CAM,0
Montiopsis_umbellata_225,Montiaceae,Montiopsis,umbellata,Montiopsis umbellata,C3,,,,non-CAM,0
Montiopsis_sericea_374,Montiaceae,Montiopsis,sericea,Montiopsis sericea,C3,,,,non-CAM,0
Montiopsis_gayana_224,Montiaceae,Montiopsis,gayana,Montiopsis gayana,C3,873.0706,421.91980000000007,0.23296235532691803,non-CAM,0
Montiopsis_andicola_377,Montiaceae,Montiopsis,andicola,Montiopsis andicola,C3,991.6041999999998,399.3541666666667,0.11299938781403909,non-CAM,0
Calyptridium_pygmaeum,Montiaceae,Calyptridium,pygmaeum,Calyptridium pygmaeum,C3+CAM,,,,mCAM,1
Calyptridium_umbellatum,Montiaceae,Calyptridium,umbellatum,Calyptridium umbellatum,C3+CAM,4222.428571428571,1137.7634,0.25947772110791584,mCAM,1
Calyptridium_roseum_parryi_175,Montiaceae,Calyptridium,roseum,Calyptridium roseum,C3+CAM,,,,mCAM,1
Calyptridium_parryi_170,Montiaceae,Calyptridium,parryi,Calyptridium parryi,C3+CAM,,,,mCAM,1
Calyptridium_monospermum_108,Montiaceae,Calyptridium,monospermum,Calyptridium monospermum,C3+CAM,,,,mCAM,1
Cistanthe_grandiflora,Montiaceae,Cistanthe,grandiflora,Cistanthe grandiflora,C3+CAM,7108.272222222223,,,mCAM,1
