taxon	slide_no	leaf_no	ivd	dias	dcell	delta	phloem_path	bs_cellsize	bs_length	bs_width	palisade_cellsize	palisade_length	palisade_width	ws_cellsize	ws_length	ws_width	ws_wall_thickness	n_mucilage_cells	mucilage_cell_area	leaf_thickness	leaf_area	mucilage_total_area	ias	area_for_ias	ias_by_area	lmes	lmes/ias	threedee	threedee.types	perimeter	width	thicknessXwidth	gh
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.30169	NA	NA	0.00073	0.03256	0.027584	NA	NA	NA	0.004203	0.104913	0.048116	NA	NA	0.005978	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.286092	NA	NA	NA	NA	NA	NA	NA	NA	0.002962	0.090041	0.035735	NA	NA	0.00562	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.392379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004253	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.327223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008182	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.277083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004738	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.135766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004124	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.189941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005092	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.166863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007278	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.172749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006748	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.178306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003247	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.102797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.183232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.175906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.145833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.094665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.221394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.131274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.12529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.22995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.105999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.205347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.271306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.256994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.10312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.196833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.16758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.186525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.089499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.367116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.357362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.222565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.466814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.445652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.358876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.236556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.193499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.635704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf2sl2.1_10x	2	0.335753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.143358	0.072156	0.340586	0.448694	6	0.001636	0.057342	0.042837	0.004488	0.074364	0.060626	0.009568	0.118712	0.081796	NA	8	NA	0.826791	2.587092	NA	0.004754	0.199244	NA	0.596441	NA	0	0	8.077595	3.312222	4.167234	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.207414	0.092896	0.297292	0.520189	5	0.001532	0.072298	0.043713	0.004207	0.079244	0.070145	0.008316	0.107004	0.103614	NA	NA	NA	0.855012	NA	NA	0.000831	NA	NA	0.242682	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.219979	0.116702	0.288505	0.476973	7	0.001851	0.083543	0.04325	0.004661	0.081584	0.056526	0.004338	0.086378	0.066233	NA	NA	NA	0.896146	NA	NA	0.010936	NA	NA	0.801365	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.164025	0.203341	0.345073	0.473199	6	0.002202	0.073849	0.037652	0.006869	0.056652	0.073308	0.014654	0.157152	0.116079	NA	NA	NA	0.849951	NA	NA	0.000647	NA	NA	0.171421	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.167807	0.102409	0.217116	0.474652	6	0.001953	0.051353	0.043417	0.003788	0.089067	0.059238	0.011325	0.110606	0.099991	NA	NA	NA	0.823475	NA	NA	0.001287	NA	NA	0.183908	NA	0	0	NA	NA	NA	1
